id,group_id,permission_id
196,3,128
197,3,258
198,3,260
199,3,136
200,3,76
201,3,140
202,3,172
203,3,220
204,3,212
205,3,152
206,3,156
207,3,216
208,2,128
209,2,257
210,2,258
211,2,259
212,2,260
213,2,133
214,2,136
215,2,137
216,2,140
217,2,149
218,2,152
219,2,153
220,2,156
221,2,172
222,2,73
223,2,74
224,2,75
225,2,76
226,2,212
227,2,216
228,2,220
229,2,125
230,2,126
231,1,21
232,1,22
233,1,24
234,1,29
235,1,30
236,1,32
237,1,33
238,1,37
239,1,38
240,1,40
241,1,41
242,1,42
243,1,44
244,1,45
245,1,46
246,1,48
247,1,49
248,1,50
249,1,52
250,1,53
251,1,54
252,1,56
253,1,61
254,1,62
255,1,64
256,1,69
257,1,70
258,1,72
259,1,73
260,1,74
261,1,75
262,1,76
263,1,80
264,1,84
265,1,92
266,1,96
267,1,100
268,1,104
269,1,108
270,1,112
271,1,116
272,1,120
273,1,124
274,1,125
275,1,126
276,1,127
277,1,128
278,1,132
279,1,133
280,1,136
281,1,140
282,1,144
283,1,148
284,1,149
285,1,150
286,1,152
287,1,153
288,1,156
289,1,157
290,1,158
291,1,160
292,1,164
293,1,168
294,1,172
295,1,173
296,1,176
297,1,180
298,1,181
299,1,182
300,1,184
301,1,188
302,1,189
303,1,192
304,1,196
305,1,200
306,1,201
307,1,204
308,1,208
309,1,212
310,1,216
311,1,220
312,1,224
313,1,228
314,1,229
315,1,230
316,1,232
317,1,236
318,1,257
319,1,258
320,1,259
321,1,260
