id,name,content_type_id,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
13,Can add content type,4,add_contenttype
14,Can change content type,4,change_contenttype
15,Can delete content type,4,delete_contenttype
16,Can view content type,4,view_contenttype
17,Can add session,5,add_session
18,Can change session,5,change_session
19,Can delete session,5,delete_session
20,Can view session,5,view_session
21,Can add categorie,6,add_categorie
22,Can change categorie,6,change_categorie
23,Can delete categorie,6,delete_categorie
24,Can view categorie,6,view_categorie
25,Can add compte,7,add_compte
26,Can change compte,7,change_compte
27,Can delete compte,7,delete_compte
28,Can view compte,7,view_compte
29,Can add emplacement,8,add_emplacement
30,Can change emplacement,8,change_emplacement
31,Can delete emplacement,8,delete_emplacement
32,Can view emplacement,8,view_emplacement
33,Can add fichier,9,add_fichier
34,Can change fichier,9,change_fichier
35,Can delete fichier,9,delete_fichier
36,Can view fichier,9,view_fichier
37,Can add marque,10,add_marque
38,Can change marque,10,change_marque
39,Can delete marque,10,delete_marque
40,Can view marque,10,view_marque
41,Can add nature,11,add_nature
42,Can change nature,11,change_nature
43,Can delete nature,11,delete_nature
44,Can view nature,11,view_nature
45,Can add operation,12,add_operation
46,Can change operation,12,change_operation
47,Can delete operation,12,delete_operation
48,Can view operation,12,view_operation
49,Can add type_tag,13,add_type_tag
50,Can change type_tag,13,change_type_tag
51,Can delete type_tag,13,delete_type_tag
52,Can view type_tag,13,view_type_tag
53,Can add Utilisateur,14,add_userweb
54,Can change Utilisateur,14,change_userweb
55,Can delete Utilisateur,14,delete_userweb
56,Can view Utilisateur,14,view_userweb
57,Can add Super Utilisateur,15,add_superuserproxy
58,Can change Super Utilisateur,15,change_superuserproxy
59,Can delete Super Utilisateur,15,delete_superuserproxy
60,Can view Super Utilisateur,15,view_superuserproxy
61,Can add departement,16,add_departement
62,Can change departement,16,change_departement
63,Can delete departement,16,delete_departement
64,Can view departement,16,view_departement
69,Can add fournisseur,17,add_fournisseur
70,Can change fournisseur,17,change_fournisseur
71,Can delete fournisseur,17,delete_fournisseur
72,Can view fournisseur,17,view_fournisseur
73,Can add article,18,add_article
74,Can change article,18,change_article
75,Can delete article,18,delete_article
76,Can view article,18,view_article
77,Can add historical categorie,19,add_historicalcategorie
78,Can change historical categorie,19,change_historicalcategorie
79,Can delete historical categorie,19,delete_historicalcategorie
80,Can view historical categorie,19,view_historicalcategorie
81,Can add historical departement,20,add_historicaldepartement
82,Can change historical departement,20,change_historicaldepartement
83,Can delete historical departement,20,delete_historicaldepartement
84,Can view historical departement,20,view_historicaldepartement
85,Can add historical fichier,21,add_historicalfichier
86,Can change historical fichier,21,change_historicalfichier
87,Can delete historical fichier,21,delete_historicalfichier
88,Can view historical fichier,21,view_historicalfichier
89,Can add historical fournisseur,22,add_historicalfournisseur
90,Can change historical fournisseur,22,change_historicalfournisseur
